,Modelo,Hora,Error
560,LSTM,5,0.06767998513886864
561,LSTM,6,0.13071320898998018
562,LSTM,7,0.11372110429632887
563,LSTM,8,0.028047359233884017
564,LSTM,9,0.1380671739476964
565,LSTM,10,0.43520207315446724
566,LSTM,11,0.25261964049101415
567,LSTM,12,0.7369167691775677
568,LSTM,13,0.6664885887838424
569,LSTM,14,0.6549870643492491
570,LSTM,15,0.22747497787330273
571,LSTM,16,1.4813578129536167
572,LSTM,17,0.7684718540243198
573,LSTM,18,0.607156481273829
574,LSTM,19,2.088961150477377
575,LSTM,20,1.1149377402543745
576,LSTM,21,0.3650285176673216
577,LSTM,22,0.5846224768824198
578,LSTM,23,0.07507843316238083
579,LSTM,0,0.22703322558208905
580,LSTM,1,0.5225410980218147
581,LSTM,2,0.1959270359035029
582,LSTM,3,0.021563119502683414
583,LSTM,4,0.04654415893207575
584,LSTM,5,0.04280496945767076
585,LSTM,6,0.3823100421401693
586,LSTM,7,0.979803890006723
587,LSTM,8,1.2412222056187971
588,LSTM,9,1.6569510771134777
589,LSTM,10,0.03310392976051402
590,LSTM,11,0.015432772010931073
591,LSTM,12,1.3893031600030454
592,LSTM,13,0.5552024992362967
593,LSTM,14,0.5208259113620872
594,LSTM,15,2.4488812051500606
595,LSTM,16,0.5480678312620257
596,LSTM,17,0.22364390381571497
597,LSTM,18,0.43923261471619934
598,LSTM,19,0.38346881401051824
599,LSTM,20,0.0711818605222927
600,LSTM,21,0.7504793467694628
601,LSTM,22,0.4699622841608131
602,LSTM,23,0.3229425267494428
603,LSTM,0,0.039720792460798515
604,LSTM,1,0.01418058303715819
605,LSTM,2,0.04018220098989378
606,LSTM,3,0.002227831338379227
607,LSTM,4,0.05865639934608746
608,LSTM,5,0.12436196536322675
609,LSTM,6,0.06965493064798567
610,LSTM,7,0.3491455311881908
611,LSTM,8,0.3818765921107865
612,LSTM,9,0.32206731110258335
613,LSTM,10,0.08236128918088581
614,LSTM,11,0.17446386337309927
615,LSTM,12,0.2056849787435442
616,LSTM,13,0.8831440004038111
617,LSTM,14,1.1951455852967836
618,LSTM,15,0.11752132805513948
619,LSTM,16,0.39957061772762714
620,LSTM,17,0.3748739074449764
621,LSTM,18,0.0983982872811685
622,LSTM,19,0.22715078987401593
623,LSTM,20,0.2954512458167975
624,LSTM,21,0.17320122660915738
625,LSTM,22,0.08089830537944342
626,LSTM,23,0.4090222164344993
627,LSTM,0,0.7460958224857304
628,LSTM,1,0.2175964456796402
629,LSTM,2,0.017840347984258265
630,LSTM,3,0.046691067655064145
631,LSTM,4,0.0455451156496931
632,LSTM,5,0.04952753607583815
633,LSTM,6,0.38382782353494715
634,LSTM,7,0.31939054461724936
635,LSTM,8,0.05381560766947757
636,LSTM,9,0.2134238328283784
637,LSTM,10,0.4063409456722815
638,LSTM,11,0.09736007811191505
639,LSTM,12,0.2335705837974904
640,LSTM,13,0.2708333204008291
641,LSTM,14,0.47852887241754205
642,LSTM,15,0.32348615832106686
643,LSTM,16,0.5063732993189094
644,LSTM,17,0.5212845213759585
645,LSTM,18,0.04341531230172602
646,LSTM,19,0.596440742850419
647,LSTM,20,0.8604159409491408
648,LSTM,21,0.34025478158470057
649,LSTM,22,0.3745805364288092
650,LSTM,23,0.1693173672239432
651,LSTM,0,0.18723655337993572
652,LSTM,1,0.3534695570393249
653,LSTM,2,0.15549526066069497
654,LSTM,3,0.02408066379804419
655,LSTM,4,0.055616732067537034
656,LSTM,5,0.08082581050888304
657,LSTM,6,0.11613932129063809
658,LSTM,7,0.14351766880773908
659,LSTM,8,0.13788652312686644
660,LSTM,9,0.11429202805451677
661,LSTM,10,0.17458857054197852
662,LSTM,11,0.05184491990137996
663,LSTM,12,0.25828102013100107
664,LSTM,13,0.3834587926607642
665,LSTM,14,0.4779024581003445
666,LSTM,15,0.5377452946387077
667,LSTM,16,0.06457427290103601
668,LSTM,17,0.24218526653728079
669,LSTM,18,0.6456541360141304
670,LSTM,19,0.7373539638868456
671,LSTM,20,1.146330791069667
672,LSTM,21,1.6234515172578905
673,LSTM,22,0.12580109515395188
674,LSTM,23,0.4732672640088458
675,LSTM,0,0.3448554606551053
676,LSTM,1,0.38888644630607494
677,LSTM,2,0.004257154663547702
678,LSTM,3,0.0635206985505774
679,LSTM,4,0.07674104438312346
680,LSTM,5,0.13362094626512133
681,LSTM,6,0.738453793696075
682,LSTM,7,0.02102564466455137
683,LSTM,8,0.5530148599070377
684,LSTM,9,0.21799058323325982
685,LSTM,10,0.17772885110595715
686,LSTM,11,0.19187537221496243
687,LSTM,12,0.24854842384313014
688,LSTM,13,0.33829371537846775
689,LSTM,14,0.6440190035476334
690,LSTM,15,0.36142532270653205
691,LSTM,16,0.28612555364247205
692,LSTM,17,0.19275298658915674
693,LSTM,18,0.07748689866376113
694,LSTM,19,1.0551337897513597
695,LSTM,20,1.6138146301906746
696,LSTM,21,0.3258555412247204
697,LSTM,22,0.08566609578749973
698,LSTM,23,0.4549640441052396
699,LSTM,0,0.329671063533421
700,LSTM,1,0.04908654338161389
701,LSTM,2,0.09730058967401423
702,LSTM,3,0.03890837016505666
703,LSTM,4,0.1465229543278247
704,LSTM,5,0.16536405135612597
705,LSTM,6,0.11887679556693487
706,LSTM,7,0.5252985783503963
707,LSTM,8,0.2714318295233664
708,LSTM,9,0.35755157795491255
709,LSTM,10,0.8966949175156069
710,LSTM,11,0.26629988565337426
711,LSTM,12,0.35282453925902013
712,LSTM,13,0.4327598355711535
713,LSTM,14,1.147558513024626
714,LSTM,15,0.1532652438151887
715,LSTM,16,1.14506135791161
716,LSTM,17,1.377615494327278
717,LSTM,18,1.806204369503778
718,LSTM,19,0.23729042353806218
719,LSTM,20,1.1207729376738529
720,LSTM,21,0.7582661220959395
721,LSTM,22,0.30274548246387933
722,LSTM,23,0.06151283050879153
723,LSTM,0,0.14111401075572472
724,LSTM,1,0.3227034202760922
725,LSTM,2,0.44955255271823813
726,LSTM,3,0.14598899762311723
727,LSTM,4,0.1702040434569575
728,LSTM,5,0.3504309292092863
729,LSTM,6,0.4753818354382374
730,LSTM,7,0.7014155246662139
731,LSTM,8,1.0141867145720034
732,LSTM,9,0.509218523094455
733,LSTM,10,0.4676755574032352
734,LSTM,11,0.6299161859180402
735,LSTM,12,0.13571690090514332
736,LSTM,13,0.4866150488941803
737,LSTM,14,0.7939535611535189
738,LSTM,15,0.01784823046880546
739,LSTM,16,0.39722317651595507
740,LSTM,17,0.12521039522151511
741,LSTM,18,1.03757273358644
742,LSTM,19,0.4656446282633784
743,LSTM,20,0.7459149950919162
744,LSTM,21,1.5480641013622725
745,LSTM,22,0.5089399908721057
746,LSTM,23,0.6249634469693458
747,LSTM,0,0.01682360742465061
748,LSTM,1,0.1695427942883545
749,LSTM,2,0.12756352008434435
750,LSTM,3,0.2594931770108102
751,LSTM,4,0.08646511186269323
752,LSTM,5,0.05167882135971402
753,LSTM,6,0.22410537897612526
754,LSTM,7,0.06025730996927603
755,LSTM,8,0.36936576317132297
756,LSTM,9,0.008588483306789962
757,LSTM,10,0.01893358129331757
758,LSTM,11,0.1238051407912617
759,LSTM,12,0.3645018371021962
760,LSTM,13,0.06475700261888928
761,LSTM,14,0.3956879976848693
762,LSTM,15,0.5319760888734597
763,LSTM,16,0.05180502107004592
764,LSTM,17,0.1239493842616558
765,LSTM,18,0.03715063607922964
766,LSTM,19,1.6742977803385142
767,LSTM,20,0.22417237010007884
768,LSTM,21,0.24049640257848592
769,LSTM,22,0.018280754322911763
770,LSTM,23,0.3756099702538964
771,LSTM,0,0.09280558786896653
772,LSTM,1,0.02375896780993314
773,LSTM,2,0.03593218920329844
774,LSTM,3,0.06113252561613547
775,LSTM,4,0.538979093369581
776,LSTM,5,0.13205463062060452
